query,clicked_id,user_id,id_in_serp,pos_in_serp
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4442,1
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,475,2
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,481,3
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5861,4
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5697,5
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4517,6
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5775,7
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4421,8
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4717,9
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4422,10
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,439,11
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4363,12
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4718,13
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5641,14
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5251,15
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,358,16
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4567,17
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5232,18
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,4585,19
fruity sour,4442,ecfce536-7fc5-11ef-9d1e-0242ac120005,5727,20
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,5210,1
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,2109,2
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1641,3
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1646,4
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1673,5
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,502,6
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,512,7
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,506,8
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,827,9
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1629,10
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,2856,11
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,241,12
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1679,13
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,2576,14
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,2005,15
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1663,16
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,588,17
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,2691,18
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,1627,19
low alcool pils,512,ecfce6da-7fc5-11ef-9d1e-0242ac120005,516,20
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,4625,1
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,5783,2
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,3962,3
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,4013,4
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,2367,5
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,2024,6
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,3594,7
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,3219,8
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,4030,9
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,3404,10
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,1459,11
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,2164,12
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,3439,13
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,1044,14
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,489,15
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,700,16
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,2383,17
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,1086,18
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,1819,19
malty scotch ale,4625,ecfce7b6-7fc5-11ef-9d1e-0242ac120005,1996,20
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,282,1
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,4854,2
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,5346,3
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,5144,4
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,3849,5
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,5885,6
dry Irish stout with roasted malt,5346,ecfce874-7fc5-11ef-9d1e-0242ac120005,345,7
